"","Fire_Mod","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"121","Untreated","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossales_fam_Incertae_sedis","Geoglossales_gen_Incertae_sedis",122,2,3547526,0.00343901637366435
"122","Untreated","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophorales_fam_Incertae_sedis","Pyxidiophorales_gen_Incertae_sedis",34,3,3547526,0.000958414399217934
"123","Untreated","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporales_fam_Incertae_sedis","Acarosporales_gen_Incertae_sedis",71,4,3547526,0.00200139477483745
"124","Untreated","Fungi","Ascomycota","Lecanoromycetes","GS36","GS36_fam_Incertae_sedis","GS36_gen_Incertae_sedis",38,3,3547526,0.00107116903442004
"125","Untreated","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanorales_fam_Incertae_sedis","Lecanorales_gen_Incertae_sedis",11,1,3547526,0.000310075246805802
"126","Untreated","Fungi","Ascomycota","Lecanoromycetes","Lecanoromycetes_ord_Incertae_sedis","Lecanoromycetes_fam_Incertae_sedis","Lecanoromycetes_gen_Incertae_sedis",183,11,3547526,0.00515852456049653
"127","Untreated","Fungi","Ascomycota","Lecanoromycetes","Lecanoromycetes_ord_Incertae_sedis","Micropeltidaceae","Micropeltidaceae_gen_Incertae_sedis",73,3,3547526,0.0020577720924385
"128","Untreated","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Ostropales_fam_Incertae_sedis","Ostropales_gen_Incertae_sedis",75,4,3547526,0.00211414941003956
"129","Untreated","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Cryptodiscus",10,1,3547526,0.000281886588005275
"130","Untreated","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Pectenia",265,13,3547526,0.00746999458213978
"131","Untreated","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia",37,1,3547526,0.00104298037561952
"132","Untreated","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Varicellaria",986,9,3547526,0.0277940175773201
"133","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Ascocorticiaceae","Ascocorticium",37,3,3547526,0.00104298037561952
"134","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Pilidium",12,4,3547526,0.00033826390560633
"135","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chlorociboriaceae","Brahmaculus",118,5,3547526,0.00332626173846224
